Geoid 2010,Year,Med Family Income Adj,Med Gross Rent Adj,Med Household Income Adj,Poverty Perc,Unemployment
1001,2015-2019,75363.798290316900,1045.08537071927300,62250.414713705500,0.1518517169804450,0.0367664388404430
1003,2015-2019,80395.258994986670,1081.12279729579950,61814.785821853950,0.1035407264643303,0.0425506207396518
1005,2015-2019,44203.083469043160,610.51640317880450,34474.038217692040,0.3066868894142838,0.0916648671993090
1007,2015-2019,61360.078292403070,777.98444432854590,50390.921597095000,0.1812718107793718,0.0728498783992925
1009,2015-2019,66027.984958374350,706.96951548656690,52315.744146005950,0.1355151642501926,0.0336419753086419
1011,2015-2019,45929.700171783220,693.19049944260090,40049.240093942930,0.2887367130008176,0.0387269085243712
1013,2015-2019,53529.357482186046,657.15307286607420,43126.200368991660,0.2250255885363357,0.0680455987777647
1015,2015-2019,62691.343227112410,758.90580672920830,50086.723319816670,0.1790267343242904,0.0807968372164434
1017,2015-2019,56776.965571317740,793.88330899466060,44823.139191021630,0.1725221279038153,0.0393878737005230
1019,2015-2019,58870.316085689510,657.15307286607420,44430.967195924140,0.1392202103945876,0.0443359187972804
1021,2015-2019,58219.522558689880,769.50504983995140,50312.487198075505,0.1911581855860004,0.0640820249919897
1023,2015-2019,49561.000861523820,556.46026331401450,38042.803373079250,0.2334801762114537,0.0790112557934230
1025,2015-2019,56129.351817251336,588.25799264624390,39645.408931423610,0.2320975114271203,0.1220338983050847
1027,2015-2019,52970.777370249880,567.05950642475760,43292.608485830330,0.1794773545865583,0.0540818072907752
1029,2015-2019,60778.179845623270,620.05572197847320,47422.073601775850,0.1728352909041245,0.0594924192485168
1031,2015-2019,71598.947137380940,851.11922179267360,58971.008895241570,0.1506935439506463,0.0573985628845574
1033,2015-2019,64379.802654653790,738.76724481879640,50945.262011786865,0.1546600796342722,0.0435256168572745
1035,2015-2019,50813.831397213650,568.11943073583190,40104.356158118790,0.1759342180249125,0.0924297662449067
1037,2015-2019,51598.175387408640,624.29541922277050,41326.448888787470,0.1351299140345793,0.0286638927415626
1039,2015-2019,57268.770451656220,648.67367837747970,44717.146759914205,0.1858699240673489,0.0835909484357610
1041,2015-2019,61240.306845251675,569.17935504690630,45749.513038900586,0.1515818835792410,0.0342477423751916
1043,2015-2019,59875.124332587955,748.30656361846510,47609.680204836000,0.1486941921884383,0.0508831766630618
1045,2015-2019,60843.895152909880,773.74474708424870,50043.266423062625,0.1764594985232200,0.0797790733353789
1047,2015-2019,48049.548793931840,681.53133202078350,35873.138308310130,0.2906656981269133,0.1104842209684419
1049,2015-2019,52201.272320409930,665.63246735466870,42863.339139845230,0.2108307867244687,0.0395035323092877
1051,2015-2019,76892.209146886060,945.45248547828760,64539.851225626010,0.1150880123178099,0.0461040410805983
1053,2015-2019,51898.133967442680,652.91337562177690,38448.754384220720,0.2215084044706503,0.1099199443090845
1055,2015-2019,60843.895152909880,709.08936410871560,47311.841473424120,0.1739091824048309,0.0553500631243216
1057,2015-2019,54457.851178687146,558.58011193616310,42244.343342177830,0.1944135459152144,0.0634052616021282
1059,2015-2019,54293.562910470624,615.81602473417600,46121.546472087670,0.1941060522829353,0.0475484014538980
1061,2015-2019,53695.765599024710,662.45269442144580,44232.761349753250,0.2201057795492871,0.0541211063125976
1063,2015-2019,39747.161665286745,648.67367837747970,25591.872490889295,0.3809754913855860,0.1148873291466568
1065,2015-2019,57796.612758571230,611.57632748987870,36086.183094836070,0.2418125643666323,0.1085400366239387
1067,2015-2019,64320.446893233624,664.57254304359450,53014.234267003930,0.1382521489971346,0.0588875288997688
