county_fips,ngo_count,food_ngo_count,matched_filer_count,total_revenue,total_assets,filer_coverage_rate,population,avg_food_desert_pct,avg_housing_burden,dac_tract_pct,avg_dac_score,poverty_rate,med_household_income,unemployment,ngo_per_10k,food_ngo_per_10k,revenue_per_capita,assets_per_capita,need_score,capacity_score,gap_score,food_capacity_score,food_gap_score,need_component_count,capacity_component_count
01037,85,2,4,4608530.0,14279206.0,0.047058823529411764,10757.0,0.6665427163707354,25.157153481453935,0.0,17.11966112605745,18.2,41326.44888878747,0.0286638927415626,79.01831365622384,1.859254438969973,428.4214929813145,1327.4338570233335,0.20959602374561495,0.42145247923941725,-0.2118564554938023,-0.19204758915018927,0.4016436128958042,3,3
01039,349,4,10,65864971.0,90084316.0,0.02865329512893983,37200.0,0.3331989247311828,27.053290322580644,0.0,17.386115316182796,16.7,44717.146759914205,0.083590948435761,93.81720430107528,1.075268817204301,1770.56373655914,2421.6213978494625,-0.10354866058876168,1.009271512523192,-1.1128201731119536,-0.7106389082939709,0.6070902477052093,3,3
01041,95,1,2,920295.0,135397.0,0.021052631578947368,13844.0,0.49754406240970817,21.704081190407397,0.0,16.90394110047674,19.5,45749.513038900586,0.0342477423751916,68.62178561109506,0.722334585379948,66.47609072522393,9.780193585668881,-0.14559828189316995,-1.1201608659424491,0.9745625840492792,-1.0122913215140483,0.8666930396208784,3,3
01043,495,10,23,4879539.0,9865523.0,0.046464646464646465,82853.0,0.24197071922561644,26.614600557614086,0.0,16.886137203661907,15.5,47609.680204836,0.0508831766630618,59.744366528671264,1.2069568995691164,58.89393262766587,119.07261052707808,-0.3071388686004854,-0.7515621413819148,0.4444232727814294,-0.6110796957731844,0.30394082717269905,3,3
01045,328,3,12,3793146.0,8926627.0,0.036585365853658534,49277.0,0.39801530125616413,25.376333786553563,0.0,16.10397539612801,16.6,50043.266423062625,0.0797790733353789,66.562493658299,0.6088032956551738,76.975992856708,181.15199788948192,-0.1618982080588679,-0.5218671705182,0.3599689624593321,-1.122637875698981,0.9607396676401131,3,3
01047,532,4,9,673540.0,2395385.0,0.016917293233082706,39149.0,0.5616490842677974,32.26527369792333,0.4666666666666667,19.494161922628926,31.4,35873.138308310125,0.1104842209684419,135.89108278627808,1.0217374645584816,17.204526296967995,61.18636491353547,1.4182082801905473,-0.549990279373339,1.9681985595638865,-0.752928537548169,2.1711368177387165,3,3
01049,396,5,19,2679774.0,6078580.0,0.047979797979797977,71310.0,0.0,25.716478754732858,0.0,16.700994618076006,21.6,42863.33913984523,0.0395035323092877,55.53218342448464,0.7011639321273313,37.579217501051744,85.24162109101108,-0.2626348917105443,-0.9786225429852754,0.7159876512747311,-1.032305474959895,0.7696705832493507,3,3
01051,615,10,23,4812289.0,6092748.0,0.03739837398373984,81144.0,0.3000591540964212,29.118878783397413,0.0,15.77503858383861,12.5,64539.85122562601,0.0461040410805983,75.79118603963325,1.2323770087745243,59.30554323178547,75.08562555456966,-0.24443063962266934,-0.6661847593078604,0.42175411968519105,-0.5925472848756818,0.34811664525301245,3,3
01053,361,5,9,345464.0,1047347.0,0.024930747922437674,37057.0,0.4491189248994792,28.040235313166207,0.6666666666666666,20.408525528968887,21.3,38448.75438422072,0.1099199443090845,97.41749197182719,1.3492727419920663,9.322503170790943,28.263135170143293,0.37368457884416656,-1.0914381390524002,1.4651227178965667,-0.5099551655875849,0.8836397444317514,3,3
01055,884,5,29,4527319.0,9756873.0,0.032805429864253395,102748.0,0.6700957682874605,28.004031222018927,0.03333333333333333,16.427602564838242,19.6,47311.84147342412,0.0553500631243216,86.03573792190603,0.48662747693385755,44.062356444894306,94.95924981508156,0.5062499746067204,-0.5912666117300291,1.0975165863367495,-1.2504456912647406,1.756695665871461,3,3
01057,145,0,0,,,0.0,16494.0,0.0,26.776961319267613,0.0,16.96053329544077,16.2,42244.34334217783,0.0634052616021282,87.91075542621559,0.0,,,-0.5140638860882597,-0.6771715343529306,0.16310764826467095,-1.8920863123713685,1.378022426283109,3,1
01059,189,1,2,380622.0,467970.0,0.010582010582010581,31466.0,0.27601220364838236,21.409699358037244,0.0,16.87446895913049,22.5,46121.54647208767,0.047548401453898,60.0648318820314,0.31780334329117144,12.096294413017224,14.872243055996949,-0.22372346345044045,-1.525865664892921,1.3021422014424806,-1.4455122469617678,1.2217887835113275,3,3
01061,187,3,9,2497617.0,2171990.0,0.0481283422459893,26417.0,0.21262823182041868,26.166226293674526,0.0,16.378856647726842,19.2,44232.76134975325,0.0541211063125976,70.7877503122989,1.1356323579513192,94.54582276564334,82.21940417155619,-0.14627052439799895,-0.5904830843037883,0.44421255990578934,-0.6642411516934217,0.5179706272954228,3,3
01063,137,4,7,2798932.0,2320029.0,0.051094890510948905,8324.0,0.5180201826045171,37.66147284959154,1.0,22.24285768572802,31.0,25591.872490889295,0.1148873291466568,164.58433445458914,4.805382027871216,336.24843825084093,278.7156415185007,1.7401970023363729,0.5947857765587693,1.1454112257776035,0.9540155275405652,0.7861814747958077,3,3
01065,153,7,2,906206.0,2739023.0,0.013071895424836602,14809.0,0.42798298332095347,35.54238638665676,0.0,18.78325979640759,23.0,36086.18309483607,0.1085400366239387,103.3155513539064,4.7268552907016,61.192923222364776,184.95664798433384,1.0013774365421686,-0.24007597054520735,1.241453407087376,0.9319772185293166,0.06940021801285201,3,3
01067,150,6,5,1246929.0,2138778.0,0.03333333333333333,17133.0,0.3811358197630304,29.551695558279345,0.0,16.52323873443063,16.4,53014.23426700393,0.0588875288997688,87.55034144633164,3.502013657853266,72.77937313955525,124.83382945193486,0.11214309350691315,-0.40570873475722663,0.5178518282641398,0.5425658501159436,-0.43042275660903045,3,3
01069,929,10,37,13016931.0,15462723.0,0.03982777179763186,104702.0,0.6117457164142042,27.0053609291131,0.045454545454545456,16.045949712441022,16.5,50431.198720915825,0.0641752957799945,88.72800901606463,0.9550915932837959,124.32361368455234,147.68316746575996,0.181670517213622,-0.23619719911076387,0.4178677163243859,-0.8071716451857893,0.9888421623994114,3,3
